number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp,Superconductivity Type
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,29,1
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,29,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29,1
3,89.36453333,735.9333333,174.3333333,5703.666667,37.38333333,16.5,49,3.333333333,29,1
3,94.24353333,750.7333333,167,6281.666667,49.4,16.93333333,47.66666667,3.666666667,29,1
4,47.4607508,993.675,126.5,3788.174,107.5175,12.575,82.256925,2.75,29,1
5,73.000813,781.26,151.8,5327.4858,76.726,8.7644,109.605316,2.6,29,1
6,51.093,827.0833333,143,3746.238167,42.72166667,12.85366667,57.67109667,3,29,1
4,78.4260905,815.85,149.75,5167,55.175,12.86,35.809,4,29,1
3,57.96776667,706,167.3333333,4516.333333,87.86666667,7.176666667,59.84,3.333333333,29,1
1,40.078,589.4,194,1550,3.87,8.54,200,2,29,1
3,89.2368173,691.6666667,185.6666667,4857.333333,86.9,7.096666667,38.50666667,3.333333333,29,1
4,78.4260905,815.85,149.75,5167,55.175,12.86,35.809,4,29,1
4,67.6700025,889.425,129.5,4936.772475,55.125,12.0895,35.545125,3,29,1
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,29,1
5,38.17018864,1057.2,111.8,3030.55718,100.874,10.1716,65.84164,2.4,29,1
5,60.93397464,1047.9,111,3950.025,123.64,9.6564,28.410856,2.8,29,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,29.05,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.1,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,29.1,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.1,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.1,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.1,1
3,72.81695667,866.4,129.3333333,5035.809667,103.9666667,6.540666667,137.6755267,2.333333333,29.1,1
7,110.4002,738.1285714,166,7127.347,73.04714286,9.613142857,87.43236857,3.285714286,29.1,1
3,20.69917953,704.9,116.6666667,2299.333333,24.56666667,23.13333333,140.6666667,2.666666667,29.1,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.1,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.1,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.1,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.1,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,29.1,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.2,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,29.2,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.2,1
5,103.010254,770.22,150,5503.4858,82.226,7.7044,91.205316,2.8,29.2,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.2,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.2,1
6,78.89206667,761.5666667,166.5,6061.5715,72.055,12.62033333,98.00443,3.166666667,29.2,1
3,15.7089,874.4,99.66666667,2152.666667,61.7,54.56666667,109,3,29.2,1
5,91.606974,739.02,167.6,4596.2858,73.986,7.3844,92.405316,2.4,29.2,1
3,89.2368173,691.6666667,185.6666667,4857.333333,86.9,7.096666667,38.50666667,3.333333333,29.2,1
3,89.2368173,691.6666667,185.6666667,4857.333333,86.9,7.096666667,38.50666667,3.333333333,29.2,1
6,56.27430253,1039.366667,117.5,3677.854167,115.45,8.253666667,23.71504667,3.333333333,29.2,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.3,1
7,81.50137857,774.3714286,157.5714286,4933.347,56.87142857,8.501714286,111.4323686,2.571428571,29.3,1
7,81.50137857,774.3714286,157.5714286,4933.347,56.87142857,8.501714286,111.4323686,2.571428571,29.3,1
7,81.50137857,774.3714286,157.5714286,4933.347,56.87142857,8.501714286,111.4323686,2.571428571,29.3,1
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,29.3,1
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,29.3,1
4,70.9577175,876.25,132.5,5561.85725,78.35,6.743,133.256645,2.25,29.3,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.3,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.3,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.3,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.3,1
7,64.07339546,938.8142857,132.5714286,4527.446429,92.97142857,10.41171429,23.82204,3,29.3,1
5,103.010254,770.22,150,5503.4858,82.226,7.7044,91.205316,2.8,29.35,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.35,1
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,29.4,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.4,1
6,91.95711667,720.9166667,157.8333333,5280.0715,57.5,6.593666667,115.3377633,2.5,29.4,1
5,85.553919,773.12,165.8,5323.0858,78.91,9.3644,106.405316,2.6,29.4,1
6,90.01631167,703.7666667,173.5,4529.5715,63.78666667,7.210333333,108.00443,2.333333333,29.4,1
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,29.4,1
6,90.01631167,703.7666667,173.5,4529.5715,63.78666667,7.210333333,108.00443,2.333333333,29.4,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,29.4,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.4,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.4,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,29.4,1
5,60.93397464,1047.9,111,3950.025,123.64,9.6564,28.410856,2.8,29.4,1
4,72.77084232,675.85,178.25,4519.75,41.6125,13.025,71.75,2.75,29.4,1
5,100.966814,740.78,167.2,8549.4,71.374,15.268,82.6,3.8,29.4,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.5,1
2,72.45807595,730.6,182.5,2069.5,101.2,53.545,88,2.5,29.5,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.5,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.5,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,29.5,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.5,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.5,1
5,90.062574,735.94,162.6,4949.4858,73.986,6.9444,93.005316,2.4,29.5,1
5,103.010254,770.22,150,5503.4858,82.226,7.7044,91.205316,2.8,29.5,1
7,94.07254,730.7571429,172.2857143,6731.632714,80.33285714,12.76028571,90.14665429,3.428571429,29.5,1
7,94.07254,730.7571429,172.2857143,6731.632714,80.33285714,12.76028571,90.14665429,3.428571429,29.5,1
5,104.07756,768.3,152.2,5676.2858,82.626,7.8644,92.005316,2.8,29.5,1
3,116.4331506,683.3666667,173.6666667,5329.666667,74.36666667,37.09666667,74,2.666666667,29.5,1
6,89.81823333,762.0833333,161,6085.904833,88.67166667,10.55366667,106.00443,3.166666667,29.5,1
3,94.24353333,750.7333333,167,6281.666667,49.4,16.93333333,47.66666667,3.666666667,29.5,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,29.5,1
3,30.32033333,765.5333333,129.3333333,4024,15.63333333,24.16666667,88.66666667,2.666666667,29.5,1
3,57.96776667,706,167.3333333,4516.333333,87.86666667,7.176666667,59.84,3.333333333,29.5,1
3,73.42426667,700.7666667,174.6666667,4741.666667,87.36666667,7.13,45.84,3.333333333,29.5,1
6,56.83002753,1040.183333,110.6666667,3739.520833,115.45,8.287,24.38171333,3.166666667,29.5,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,29.55,1
5,73.000813,781.26,151.8,5327.4858,76.726,8.7644,109.605316,2.6,29.57,1
5,66.075174,777.1,150.4,3895.0858,63.986,7.2644,121.605316,2.2,29.6,1
6,92.521545,740.0833333,157.3333333,4844.5715,69.16666667,7.843666667,109.3377633,2.666666667,29.6,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.6,1
5,89.395704,734.96,170.8,4875.4858,73.986,6.9044,92.205316,2.6,29.6,1
5,81.428174,771.7,157,6021.4858,84.246,10.6644,113.605316,3,29.6,1
5,36.58411224,933.92,132.8,1021.66818,67.9,22.1216,63.241266,2,29.6,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,29.6,1
3,20.69917953,704.9,116.6666667,2299.333333,24.56666667,23.13333333,140.6666667,2.666666667,29.6,1
3,89.2368173,691.6666667,185.6666667,4857.333333,86.9,7.096666667,38.50666667,3.333333333,29.6,1
4,62.3400905,816.375,146.75,4513.5,43.9325,12.535,41.059,3.75,29.6,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.7,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.7,1
3,72.81695667,866.4,129.3333333,5035.809667,103.9666667,6.540666667,137.6755267,2.333333333,29.7,1
6,82.15648333,738.9833333,176.8333333,5497.238167,70.82166667,12.60366667,100.6710967,3.166666667,29.7,1
6,88.89856667,745.2833333,173.8333333,4924.238167,58.84666667,8.470333333,95.17109667,2.333333333,29.7,1
7,87.02467786,730.3428571,165.7142857,5606.204143,56.96,8.808857143,111.5752257,2.571428571,29.7,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,29.7,1
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,29.75,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,29.75,1
5,103.15814,745.5,154.8,6090.2858,68.226,6.5244,99.605316,2.4,29.8,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,29.8,1
5,75.158774,745.38,148.6,4728.2858,69.766,6.6424,95.405316,2.4,29.8,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,29.8,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.8,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,29.8,1
5,84.41015,772.18,165.4,6018.0858,78.766,13.6244,117.005316,3,29.8,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.8,1
6,88.06515,771.85,166,7385.404833,89.07166667,13.12033333,119.3377633,3.5,29.8,1
4,94.57165,676.725,164.5,6349.75,71.075,6.4325,56.38,3.25,29.8,1
4,62.3400905,816.375,146.75,4513.5,43.9325,12.535,41.059,3.75,29.8,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,29.9,1
5,93.39848,735.32,178.6,4730.4858,67.176,8.0844,92.805316,2.2,29.9,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,29.9,1
6,81.12731667,715.3333333,183.1666667,4188.904833,60.72,8.027,108.00443,2.5,29.9,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,29.9,1
5,71.402474,759.66,155.6,4769.4858,74.106,10.0844,95.805316,2.8,29.9,1
5,70.787574,761.2,156.6,4448.8858,65.506,9.2644,94.005316,2.6,29.9,1
4,13.516925,785.775,116.5,1748.25,61.55,41.675,103,2.5,29.9,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,29.9,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,30,1
5,92.664174,748.48,168,5127.6858,73.986,7.5244,91.805316,2.4,30,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,30,1
5,73.000813,781.26,151.8,5327.4858,76.726,8.7644,109.605316,2.6,30,1
5,102.090834,747.42,152.6,5917.4858,67.826,6.3644,98.805316,2.4,30,1
6,76.872645,766.15,162.8333333,4551.238167,55.45333333,7.252,125.1710967,2.166666667,30,1
6,75.75821167,737.8833333,164,4845.904833,74.12,8.893666667,120.3377633,2.166666667,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
6,95.57896667,748.9333333,163.6666667,5137.0715,69.5,8.460333333,109.00443,2.666666667,30,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,30,1
5,103.34108,731.24,183.6,5466.0858,76.17,7.8044,88.405316,2.6,30,1
5,70.40625,781.46,162.8,5268.6858,74.686,13.7444,118.205316,3,30,1
6,83.89154167,754.5166667,162,4825.5715,56.75,7.672,114.50443,2.5,30,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30,1
2,48.73925,744.25,166,1896,101.9,53.595,99,2.5,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
6,67.4649075,753.9166667,167.3333333,4565.5715,63.00333333,9.577,122.50443,2.5,30,1
5,91.84908,738.82,165.6,4704.8858,74.386,7.2244,92.005316,2.6,30,1
7,98.3274,721.6571429,162.5714286,5447.489857,63.91428571,7.717428571,105.1466543,2.714285714,30,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,30,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30,1
5,104.07756,768.3,152.2,5676.2858,82.626,7.8644,92.005316,2.8,30,1
4,72.1394025,809.125,152.25,4957.85725,79.4425,9.6655,154.256645,2.25,30,1
5,77.6313,879.14,124.4,4726.2858,103.406,27.4444,116.605316,3,30,1
6,91.70659167,725.7166667,168,5057.238167,55.58666667,7.577,113.50443,2.333333333,30,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,30,1
7,93.08825429,723.0285714,173,6653.347,80.33285714,12.546,90.43236857,3.428571429,30,1
6,87.74031583,773.15,151.6666667,7103.5715,71.37166667,12.95366667,120.00443,3.166666667,30,1
6,118.9768117,811.5666667,155.3333333,7101.904833,59.42166667,5.780333333,81.88776333,2.5,30,1
6,60.43853167,874.4,144.5,4136.25315,66.74166667,7.846666667,85.70118,2.166666667,30,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,30,1
5,37.99742,898.6,113.2,3262.2858,90.506,35.2644,120.405316,2.6,30,1
5,66.075174,777.1,150.4,3895.0858,63.986,7.2644,121.605316,2.2,30,1
6,77.86088333,758.25,153.3333333,4838.5715,69.6,10.59366667,112.3377633,3,30,1
5,90.00405,741.5,172.8,4790.6858,72.09,7.9644,90.405316,2.4,30,1
4,72.1394025,809.125,152.25,4957.85725,79.4425,9.6655,154.256645,2.25,30,1
4,99.906175,737.325,174.5,3926.85725,61.1125,3.8305,38.256645,2.25,30,1
6,86.27073333,717,180.1666667,3870.238167,56.625,7.593666667,115.3377633,2.166666667,30,1
5,77.6313,879.14,124.4,4726.2858,103.406,27.4444,116.605316,3,30,1
7,71.06982143,758.7571429,167.5714286,3650.204143,70.73571429,21.39457143,115.1466543,2.571428571,30,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,30,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,30,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,30,1
6,80.57931167,706.6833333,175.6666667,3799.5715,56.29166667,7.360333333,111.00443,2.166666667,30,1
6,97.93997833,697.0333333,177.6666667,4709.5715,64.23,7.120333333,80.50443,2.333333333,30,1
3,72.81695667,866.4,129.3333333,5035.809667,103.9666667,6.540666667,137.6755267,2.333333333,30,1
5,62.38325,796.32,156,4787.4858,63.446,9.3044,106.205316,2.4,30,1
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,30,1
5,91.286174,737.66,169,5018.0858,73.986,7.2244,92.205316,2.4,30,1
6,107.9635283,706.6,169.3333333,5516.238167,59.09666667,6.637,85.33776333,2.333333333,30,1
5,102.090834,747.42,152.6,5917.4858,67.826,6.3644,98.805316,2.4,30,1
5,112.032234,738.12,159.4,6093.4858,69.61,6.3644,95.405316,2.4,30,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,30,1
4,104.3656,891.65,154.25,6501.35725,69.8375,5.903,106.581645,2,30,1
6,103.075675,706.5333333,189,4718.5715,64.56333333,7.320333333,84.17109667,2.5,30,1
4,50.6546,965.5,122.75,2898.66075,154.8575,6.1305,108.75887,2.75,30,1
4,50.6546,965.5,122.75,2898.66075,154.8575,6.1305,108.75887,2.75,30,1
7,78.94060714,796.7142857,163.5714286,5574.489857,46.08571429,8.193142857,105.6180829,2.285714286,30,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,30,1
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,30,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30,1
6,92.85524167,737.6666667,166,4926.904833,69.5,7.943666667,109.3377633,2.833333333,30,1
5,73.000813,781.26,151.8,5327.4858,76.726,8.7644,109.605316,2.6,30,1
3,72.81695667,866.4,129.3333333,5035.809667,103.9666667,6.540666667,137.6755267,2.333333333,30,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,30,1
5,103.010254,770.22,150,5503.4858,82.226,7.7044,91.205316,2.8,30,1
6,81.8109,802.9,160.8333333,6500.404833,70.78833333,10.72866667,114.3377633,2.833333333,30,1
5,93.90229,775.4,155.4,5386.2858,82.094,7.9324,124.205316,3,30,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,30,1
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,30,1
5,80.554174,744.02,157.6,4733.4858,73.454,7.0524,126.005316,2.4,30,1
4,64.6322175,797.15,145.5,4164.35725,78.9425,7.0405,153.256645,2.25,30,1
6,97.93997833,697.0333333,177.6666667,4709.5715,64.23,7.120333333,80.50443,2.333333333,30,1
6,80.57931167,706.6833333,175.6666667,3799.5715,56.29166667,7.360333333,111.00443,2.166666667,30,1
6,99.560675,697.1833333,190.5,4497.5715,64.56333333,7.587,80.00443,2.5,30,1
5,85.09708,782.32,164.6,6372.4858,84.646,11.4044,113.205316,3,30,1
5,86.633144,778.28,163.2,6551.2858,84.646,12.8044,114.205316,3,30,1
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,30,1
6,94.065145,742.1166667,169.6666667,6334.738167,78.78833333,10.55366667,96.50443,3,30,1
8,94.44298375,674.0375,180.375,4751.053625,52.45625,7.17775,94.8783225,2.375,30,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,30,1
6,93.3859,734.0666667,167.6666667,5982.404833,79.12166667,10.30366667,96.67109667,3.166666667,30,1
5,71.42825,786.56,160.4,5686.6858,80.566,11.6844,114.405316,3,30,1
5,84.03988,772.86,164.2,5841.0858,84.646,11.2644,113.805316,3,30,1
6,90.69923333,769.9666667,161.3333333,6528.738167,88.67166667,10.67033333,105.50443,3.166666667,30,1
6,59.1804075,761.6666667,161.6666667,4418.904833,61.51666667,9.577,125.3377633,2.5,30,1
4,38.7691,975.6,116.5,2628.66075,154.1925,6.2655,150.00887,2.75,30,1
7,94.07254,730.7571429,172.2857143,6731.632714,80.33285714,12.76028571,90.14665429,3.428571429,30,1
3,15.7089,874.4,99.66666667,2152.666667,61.7,54.56666667,109,3,30,1
4,38.7691,975.6,116.5,2628.66075,154.1925,6.2655,150.00887,2.75,30,1
7,72.119115,731.7571429,159.4285714,5323.632714,59.98571429,9.778857143,111.5752257,2.571428571,30,1
5,70.787574,761.2,156.6,4448.8858,65.506,9.2644,94.005316,2.6,30,1
5,70.787574,761.2,156.6,4448.8858,65.506,9.2644,94.005316,2.6,30,1
5,81.428174,771.7,157,6021.4858,84.246,10.6644,113.605316,3,30,1
5,81.428174,771.7,157,6021.4858,84.246,10.6644,113.605316,3,30,1
3,30.32033333,765.5333333,129.3333333,4024,15.63333333,24.16666667,88.66666667,2.666666667,30,1
3,30.018015,751.4333333,131,3889.333333,10.4,23.96666667,64.9,3,30,1
3,18.0381344,1072.5,91.33333333,1399.898667,119.7333333,19.65333333,62.34256667,2,30,1
3,15.7089,874.4,99.66666667,2152.666667,61.7,54.56666667,109,3,30,1
3,15.7089,874.4,99.66666667,2152.666667,61.7,54.56666667,109,3,30,1
3,26.69063733,722.7666667,138.6666667,2394.333333,16.43333333,24.9,67.66666667,2.666666667,30,1
6,100.65952,744.4166667,160.3333333,5331.5715,73.705,8.320333333,78.83776333,2.833333333,30,1
6,87.34697833,777.2666667,141.3333333,5256.238167,63.87166667,13.732,85.00443,2.666666667,30,1
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,30,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,30,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,30,1
3,94.24353333,750.7333333,167,6281.666667,49.4,16.93333333,47.66666667,3.666666667,30,1
3,89.2368173,691.6666667,185.6666667,4857.333333,86.9,7.096666667,38.50666667,3.333333333,30,1
4,80.457225,667.675,186,4925.25,49.525,13.2825,60.75,3,30,1
4,91.48215,790.7,160.25,9150.25,76.8425,17.51,100,4,30,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,30,1
6,102.86388,769.25,165.8333333,7150.738167,76.955,12.137,95.33776333,3,30,1
5,110.727456,774.1,170,6788.8858,68.366,11.9444,34.405316,3.2,30,1
6,76.65046333,745.9,169.5,4985.404833,69.52166667,12.687,87.50443,3,30,1
6,76.65046333,745.9,169.5,4985.404833,69.52166667,12.687,87.50443,3,30,1
6,51.60541667,825.8,142.1666667,4013.404833,49.88833333,13.537,59.17109667,3.166666667,30,1
6,120.3752117,761.05,150.6666667,6476.238167,74.62166667,7.215333333,81.83776333,3,30.05,1
5,104.07756,768.3,152.2,5676.2858,82.626,7.8644,92.005316,2.8,30.07,1
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,30.1,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,30.1,1
6,93.50194167,768.3666667,159.5,6020.5715,77.68833333,13.27033333,99.83776333,3.333333333,30.1,1
5,103.41069,767.32,160.4,5602.2858,82.626,7.8244,91.205316,3,30.1,1
6,89.00827887,921.85,132,4586.520833,123.4383333,6.463666667,76.00904667,2.5,30.1,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30.1,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,30.1,1
3,15.7089,874.4,99.66666667,2152.666667,61.7,54.56666667,109,3,30.1,1
3,72.79553333,751.4333333,163,5410.333333,34.41,16.5,54.66666667,3.333333333,30.1,1
4,74.7668405,804.75,155.25,4733.5,46.1625,12.535,36.809,3.75,30.1,1
6,61.48993303,998,119.6666667,4919.020833,114.2333333,10.88033333,41.00904667,3,30.1,1
6,71.07164553,1012.133333,114.6666667,4407.854167,120.4833333,11.33033333,27.67571333,3.166666667,30.1,1
3,57.96776667,706,167.3333333,4516.333333,87.86666667,7.176666667,59.84,3.333333333,30.1,1
5,57.335882,974.16,113.2,3949.70378,72.6,9.716,28.441416,2.8,30.1,1
4,13.516925,785.775,116.5,1748.25,61.55,41.675,103,2.5,30.15,1
5,74.51438,706.42,181.6,5021.4,32.71,11.836,73.4,2.6,30.15,1
5,100.40441,723.74,179.8,5224.2858,76.17,7.0644,89.605316,2.6,30.2,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,30.2,1
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,30.2,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30.2,1
6,92.02529667,726.2833333,171,5349.0715,76.58833333,10.487,85.67109667,3,30.2,1
5,42.76510772,837,126,3570.4858,57.414,12.1924,112.805316,3,30.2,1
6,119.942725,739.6333333,161.5,6903.5715,62.955,6.198666667,88.17109667,2.833333333,30.28,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30.3,1
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,30.3,1
6,92.85524167,737.6666667,166,4926.904833,69.5,7.943666667,109.3377633,2.833333333,30.3,1
5,102.654174,772.68,152.2,5815.4858,71.006,6.4784,96.605316,2.6,30.3,1
6,81.12731667,715.3333333,183.1666667,4188.904833,60.72,8.027,108.00443,2.5,30.3,1
6,92.85524167,737.6666667,166,4926.904833,69.5,7.943666667,109.3377633,2.833333333,30.3,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30.3,1
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,30.3,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,30.3,1
6,89.81823333,762.0833333,161,6085.904833,88.67166667,10.55366667,106.00443,3.166666667,30.3,1
4,118.023438,665.975,178.25,6605.5,70.35,6.3725,40.38,3.25,30.3,1
6,65.59595387,975.8166667,127.8333333,4037.020833,108.2166667,9.947,26.50904667,2.833333333,30.3,1
5,73.225019,676.88,183.6,5373.4,45.45,13.606,69.4,3,30.31,1
3,74.5958,863.2,133,5323.809667,104.6333333,6.807333333,139.00886,2.333333333,30.35,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30.4,1
5,103.00601,736.28,185.2,5402.4858,76.17,7.6444,88.405316,2.6,30.4,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,30.4,1
5,66.61048172,745.08,145,4087.4858,72.486,7.6644,136.605316,2.4,30.4,1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,30.4,1
5,72.201783,773,153.6,5041.4858,63.986,8.1644,91.145316,2.6,30.4,1
